pc,total_requests,unique_users,unique_urls,unique_content_type,first_request,last_request,active_days,offhours_requests,weekdays_requests
PC-7757,3460,1,126,3460,2010-01-04,2011-05-16,346,0,0
PC-7770,32870,1,160,32870,2010-01-04,2011-05-16,346,352,0
PC-7774,56052,1,314,56052,2010-01-04,2011-05-16,346,0,0
PC-7775,3460,1,83,3460,2010-01-04,2011-05-16,346,495,0
PC-7779,32870,1,184,32870,2010-01-04,2011-05-16,346,0,0
PC-7811,10034,1,197,10034,2010-01-04,2011-05-16,346,0,0
PC-7827,56052,1,177,56052,2010-01-04,2011-05-16,346,413,0
PC-7839,3460,1,67,3460,2010-01-04,2011-05-16,346,438,0
PC-7843,10005,1,109,10005,2010-01-04,2011-05-16,345,0,0
PC-7865,31050,1,137,31050,2010-01-04,2011-05-16,345,0,0
PC-7879,56052,1,190,56052,2010-01-04,2011-05-16,346,502,0
PC-7880,32870,1,205,32870,2010-01-04,2011-05-16,346,6828,0
PC-7886,56052,1,122,56052,2010-01-04,2011-05-16,346,2873,0
PC-7899,39444,1,155,39444,2010-01-04,2011-05-16,346,4384,0
PC-7902,3460,1,133,3460,2010-01-04,2011-05-16,346,54,0
PC-7903,39444,1,222,39444,2010-01-04,2011-05-16,346,0,0
PC-7913,32870,1,253,32870,2010-01-04,2011-05-16,346,3099,0
PC-7931,32870,1,177,32870,2010-01-04,2011-05-16,346,1023,0
PC-7933,3460,1,112,3460,2010-01-04,2011-05-16,346,293,0
PC-7941,32870,1,262,32870,2010-01-04,2011-05-16,346,3528,0
PC-7964,3460,1,72,3460,2010-01-04,2011-05-16,346,210,0
PC-7965,10034,1,151,10034,2010-01-04,2011-05-16,346,2130,0
PC-7973,3460,1,98,3460,2010-01-04,2011-05-16,346,0,0
PC-7974,3460,1,67,3460,2010-01-04,2011-05-16,346,172,0
PC-7979,57629,1,234,57629,2010-01-02,2011-05-16,403,2903,7436
PC-7989,69822,1,239,69822,2010-01-03,2011-05-16,431,415,13122
PC-7998,10034,1,139,10034,2010-01-04,2011-05-16,346,0,0
PC-8001,57000,1,142,57000,2010-01-02,2011-05-16,475,180,14520
PC-8014,24130,1,190,24130,2010-01-04,2011-01-05,254,2392,0
PC-8052,5225,1,90,5225,2010-01-04,2010-03-19,55,0,0
PC-8055,56052,1,121,56052,2010-01-04,2011-05-16,346,2929,0
PC-8067,13170,1,255,13170,2010-01-03,2011-05-16,439,0,2640
PC-8087,10034,1,117,10034,2010-01-04,2011-05-16,346,2233,0
PC-8089,3460,1,100,3460,2010-01-04,2011-05-16,346,0,0
PC-8097,3460,1,137,3460,2010-01-04,2011-05-16,346,213,0
PC-8105,32870,1,338,32870,2010-01-04,2011-05-16,346,686,0
PC-8118,4250,1,129,4250,2010-01-03,2011-05-16,425,423,740
PC-8127,32870,1,147,32870,2010-01-04,2011-05-16,346,4072,0
PC-8138,10005,1,76,10005,2010-01-04,2011-05-16,345,2138,0
PC-8144,10034,1,248,10034,2010-01-04,2011-05-16,346,1025,0
PC-8148,39444,1,309,39444,2010-01-04,2011-05-16,346,0,0
PC-8149,23652,1,176,23652,2010-01-04,2010-07-29,146,931,0
PC-8164,3460,1,185,3460,2010-01-04,2011-05-16,346,224,0
PC-8190,32870,1,200,32870,2010-01-04,2011-05-16,346,1196,0
PC-8192,15028,1,211,15028,2010-01-04,2010-08-13,157,2233,0
PC-8211,3460,1,174,3460,2010-01-04,2011-05-16,346,0,0
PC-8214,56052,1,225,56052,2010-01-04,2011-05-16,346,522,0
PC-8219,61047,1,159,61047,2010-01-04,2011-05-16,399,679,6732
PC-8239,10034,1,229,10034,2010-01-04,2011-05-16,346,0,0
PC-8245,3460,1,144,3460,2010-01-04,2011-05-16,346,506,0
PC-8252,10034,1,110,10034,2010-01-04,2011-05-16,346,968,0
PC-8262,13080,1,239,13080,2010-01-03,2011-05-16,436,0,2610
PC-8267,64152,1,370,64152,2010-01-02,2011-05-16,396,666,6804
PC-8277,32870,1,312,32870,2010-01-04,2011-05-16,346,576,0
PC-8290,3460,1,65,3460,2010-01-04,2011-05-16,346,0,0
PC-8296,39444,1,108,39444,2010-01-04,2011-05-16,346,432,0
PC-8303,56052,1,217,56052,2010-01-04,2011-05-16,346,572,0
PC-8309,56052,1,413,56052,2010-01-04,2011-05-16,346,2170,0
PC-8314,10034,1,282,10034,2010-01-04,2011-05-16,346,2153,0
PC-8318,10034,1,110,10034,2010-01-04,2011-05-16,346,0,0
PC-8330,3460,1,203,3460,2010-01-04,2011-05-16,346,457,0
PC-8331,27018,1,149,27018,2010-01-04,2010-12-08,237,0,0
PC-8354,56052,1,321,56052,2010-01-04,2011-05-16,346,511,0
PC-8370,63492,1,269,63492,2010-01-02,2011-05-16,444,4234,13585
PC-8391,31050,1,181,31050,2010-01-04,2011-05-16,345,564,0
PC-8396,32870,1,113,32870,2010-01-04,2011-05-16,346,377,0
PC-8397,49478,1,302,49478,2010-01-04,2011-05-16,346,2540,0
PC-8404,32870,1,156,32870,2010-01-04,2011-05-16,346,1084,0
PC-8410,10034,1,123,10034,2010-01-04,2011-05-16,346,959,0
PC-8422,32870,1,224,32870,2010-01-04,2011-05-16,346,4788,0
PC-8443,56052,1,193,56052,2010-01-04,2011-05-16,346,2032,0
PC-8453,49335,1,138,49335,2010-01-04,2011-05-16,345,2450,0
PC-8457,32870,1,213,32870,2010-01-04,2011-05-16,346,2215,0
PC-8462,32775,1,281,32775,2010-01-04,2011-05-16,345,0,0
PC-8466,10005,1,90,10005,2010-01-04,2011-05-16,345,0,0
PC-8486,49478,1,196,49478,2010-01-04,2011-05-16,346,0,0
PC-8493,10005,1,157,10005,2010-01-04,2011-05-16,345,0,0
PC-8494,10380,1,195,10380,2010-01-04,2011-05-16,346,213,0
PC-8501,2110,1,102,2110,2010-01-04,2010-10-29,211,197,0
PC-8505,3460,1,144,3460,2010-01-04,2011-05-16,346,0,0
PC-8507,370,1,94,370,2010-01-04,2010-02-23,37,0,0
PC-8508,10034,1,216,10034,2010-01-04,2011-05-16,346,2250,0
PC-8517,9976,1,142,9976,2010-01-04,2011-05-16,344,0,0
PC-8526,3460,1,125,3460,2010-01-04,2011-05-16,346,0,0
PC-8541,3460,1,78,3460,2010-01-04,2011-05-16,346,159,0
PC-8556,56052,1,274,56052,2010-01-04,2011-05-16,346,2849,0
PC-8560,3460,1,128,3460,2010-01-04,2011-05-16,346,316,0
PC-8568,45522,1,203,45522,2010-01-04,2011-02-11,281,436,0
PC-8591,10034,1,120,10034,2010-01-04,2011-05-16,346,1028,0
PC-8592,55890,1,265,55890,2010-01-04,2011-05-16,345,2861,0
PC-8610,32870,1,276,32870,2010-01-04,2011-05-16,346,537,0
PC-8619,3460,1,79,3460,2010-01-04,2011-05-16,346,0,0
PC-8632,3460,1,177,3460,2010-01-04,2011-05-16,346,193,0
PC-8651,42445,1,360,42445,2010-01-04,2011-05-16,373,0,1992
PC-8654,32870,1,198,32870,2010-01-04,2011-05-16,346,1294,0
PC-8669,1893,1,142,1893,2010-01-04,2010-10-28,211,13,2
PC-8680,39420,1,285,39420,2010-01-04,2011-05-16,346,0,0
PC-8711,10034,1,136,10034,2010-01-04,2011-05-16,346,0,0
PC-8714,56052,1,243,56052,2010-01-04,2011-05-16,346,2709,0
PC-8720,2891,1,135,2891,2010-01-04,2011-02-23,290,297,1
PC-8724,3460,1,79,3460,2010-01-04,2011-05-16,346,212,0
PC-8732,10034,1,106,10034,2010-01-04,2011-05-16,346,99,0
PC-8733,56052,1,335,56052,2010-01-04,2011-05-16,346,2739,0
PC-8734,32870,1,111,32870,2010-01-04,2011-05-16,346,478,0
PC-8739,10005,1,306,10005,2010-01-04,2011-05-16,345,39,0
PC-8758,32870,1,265,32870,2010-01-04,2011-05-16,346,1316,0
PC-8761,56052,1,376,56052,2010-01-04,2011-05-16,346,0,0
PC-8782,3450,1,120,3450,2010-01-04,2011-05-16,345,0,0
PC-8790,2453,1,74,2453,2010-01-03,2010-10-16,245,12,419
PC-8793,49335,1,198,49335,2010-01-04,2011-05-16,345,2337,0
PC-8800,32870,1,202,32870,2010-01-04,2011-05-16,346,293,0
PC-8804,32870,1,274,32870,2010-01-04,2011-05-16,346,1568,0
PC-8806,3460,1,178,3460,2010-01-04,2011-05-16,346,202,0
PC-8816,3460,1,201,3460,2010-01-04,2011-05-16,346,0,0
PC-8827,32775,1,299,32775,2010-01-04,2011-05-16,345,295,0
PC-8830,32870,1,115,32870,2010-01-04,2011-05-16,346,392,0
PC-8845,39209,1,138,39209,2010-01-04,2011-05-16,345,3565,0
PC-8851,98610,1,165,98610,2010-01-04,2011-05-16,346,15460,0
PC-8853,32870,1,149,32870,2010-01-04,2011-05-16,346,5052,0
PC-8859,21093,1,183,21093,2010-01-04,2010-11-15,222,2788,0
PC-8863,16055,1,113,16055,2010-01-04,2010-08-31,169,151,0
PC-8864,56052,1,228,56052,2010-01-04,2011-05-16,346,641,0
PC-8865,22744,1,113,22744,2010-01-04,2010-10-15,201,2129,0
PC-8871,49478,1,320,49478,2010-01-04,2011-05-16,346,3645,0
PC-8874,39304,1,245,39304,2010-01-04,2011-05-16,346,3429,0
PC-8884,32870,1,227,32870,2010-01-04,2011-05-16,346,1363,0
PC-8893,36670,1,215,36670,2010-01-02,2011-05-16,386,3794,3135
PC-8908,40185,1,112,40185,2010-01-04,2011-02-14,281,2296,0
PC-8915,49478,1,230,49478,2010-01-04,2011-05-16,346,0,0
PC-8916,10545,1,92,10545,2010-01-04,2010-06-09,111,629,0
PC-8932,32870,1,195,32870,2010-01-04,2011-05-16,346,4329,0
PC-8989,56052,1,286,56052,2010-01-04,2011-05-16,346,560,0
PC-9000,32870,1,218,32870,2010-01-04,2011-05-16,346,256,0
PC-9010,32870,1,248,32870,2010-01-04,2011-05-16,346,1308,0
PC-9028,32870,1,123,32870,2010-01-04,2011-05-16,346,302,0
PC-9040,16859,1,151,16859,2010-01-04,2010-09-10,176,3468,0
PC-9066,49708,1,242,49708,2010-01-04,2011-03-18,306,478,0
PC-9067,8046,1,72,8046,2010-01-04,2011-03-08,298,133,0
PC-9080,49478,1,157,49478,2010-01-04,2011-05-16,346,2701,0
PC-9083,4020,1,88,4020,2010-01-02,2011-05-16,402,36,520
PC-9087,13490,1,178,13490,2010-01-04,2010-07-23,142,627,0
PC-9094,3460,1,41,3460,2010-01-04,2011-05-16,346,466,0
PC-9108,32870,1,192,32870,2010-01-04,2011-05-16,346,407,0
PC-9110,39375,1,303,39375,2010-01-04,2011-05-16,346,3736,0
PC-9134,32870,1,251,32870,2010-01-04,2011-05-16,346,319,0
PC-9136,32870,1,212,32870,2010-01-04,2011-05-16,346,347,0
PC-9140,31140,1,195,31140,2010-01-04,2011-05-16,346,0,0
PC-9156,34500,1,187,34500,2010-01-04,2011-05-16,345,351,0
PC-9166,3460,1,118,3460,2010-01-04,2011-05-16,346,40,0
PC-9171,56052,1,215,56052,2010-01-04,2011-05-16,346,568,0
PC-9174,32870,1,286,32870,2010-01-04,2011-05-16,346,6971,0
PC-9179,32870,1,119,32870,2010-01-04,2011-05-16,346,0,0
PC-9183,32775,1,332,32775,2010-01-04,2011-05-16,345,2871,0
PC-9184,3460,1,100,3460,2010-01-04,2011-05-16,346,327,0
PC-9196,3460,1,160,3460,2010-01-04,2011-05-16,346,323,0
PC-9208,65740,1,248,65740,2010-01-04,2011-05-16,346,4179,0
PC-9219,32870,1,108,32870,2010-01-04,2011-05-16,346,392,0
PC-9227,34600,1,194,34600,2010-01-04,2011-05-16,346,406,0
PC-9245,56052,1,276,56052,2010-01-04,2011-05-16,346,3191,0
PC-9254,56052,1,161,56052,2010-01-04,2011-05-16,346,588,0
PC-9255,39270,1,363,39270,2010-01-04,2011-05-16,345,3925,0
PC-9261,32870,1,249,32870,2010-01-04,2011-05-16,346,0,0
PC-9268,10034,1,66,10034,2010-01-04,2011-05-16,346,2138,0
PC-9292,32870,1,271,32870,2010-01-04,2011-05-16,346,305,0
PC-9304,10034,1,216,10034,2010-01-04,2011-05-16,346,2142,0
PC-9311,3450,1,90,3450,2010-01-04,2011-05-16,345,0,0
PC-9324,31140,1,198,31140,2010-01-04,2011-05-16,346,707,0
PC-9328,39444,1,197,39444,2010-01-04,2011-05-16,346,3836,0
PC-9348,56052,1,230,56052,2010-01-04,2011-05-16,346,471,0
PC-9353,40128,1,160,40128,2010-01-02,2011-02-04,352,0,7980
PC-9358,39444,1,230,39444,2010-01-04,2011-05-16,346,0,0
PC-9367,49478,1,291,49478,2010-01-04,2011-05-16,346,2444,0
PC-9379,24302,1,190,24302,2010-01-04,2010-08-04,150,492,0
PC-9390,32870,1,234,32870,2010-01-04,2011-05-16,346,314,0
PC-9403,32870,1,91,32870,2010-01-04,2011-05-16,346,0,0
PC-9408,44232,1,191,44232,2010-01-04,2011-05-16,388,427,4788
PC-9423,32870,1,340,32870,2010-01-04,2011-05-16,346,0,0
PC-9427,32870,1,104,32870,2010-01-04,2011-05-16,346,990,0
PC-9436,17878,1,234,17878,2010-01-04,2010-08-13,157,1897,0
PC-9460,56052,1,226,56052,2010-01-04,2011-05-16,346,2267,0
PC-9461,57024,1,122,57024,2010-01-04,2011-05-16,352,794,162
PC-9473,32870,1,238,32870,2010-01-04,2011-05-16,346,2287,0
PC-9489,53298,1,205,53298,2010-01-04,2011-04-20,329,0,0
PC-9507,32870,1,336,32870,2010-01-04,2011-05-16,346,3198,0
PC-9508,10034,1,186,10034,2010-01-04,2011-05-16,346,0,0
PC-9523,32870,1,208,32870,2010-01-04,2011-05-16,346,288,0
PC-9524,15390,1,153,15390,2010-01-04,2010-08-20,162,198,0
PC-9547,28120,1,307,28120,2010-01-04,2011-03-04,296,517,0
PC-9549,10034,1,66,10034,2010-01-04,2011-05-16,346,0,0
PC-9564,39239,1,254,39239,2010-01-04,2011-05-16,345,3397,0
PC-9582,33535,1,237,33535,2010-01-04,2011-05-16,353,903,760
PC-9586,32870,1,120,32870,2010-01-04,2011-05-16,346,3983,0
PC-9612,56052,1,196,56052,2010-01-04,2011-05-16,346,507,0
PC-9627,3460,1,187,3460,2010-01-04,2011-05-16,346,321,0
PC-9643,3460,1,253,3460,2010-01-04,2011-05-16,346,0,0
PC-9647,56052,1,305,56052,2010-01-04,2011-05-16,346,2523,0
PC-9653,56052,1,142,56052,2010-01-04,2011-05-16,346,558,0
PC-9658,56052,1,316,56052,2010-01-04,2011-05-16,346,0,0
PC-9661,3450,1,95,3450,2010-01-04,2011-05-16,345,326,0
PC-9669,56052,1,226,56052,2010-01-04,2011-05-16,346,2257,0
PC-9681,16026,1,217,16026,2010-01-04,2010-07-23,141,1668,0
PC-9687,39424,1,307,39424,2010-01-04,2011-05-16,346,0,0
PC-9706,32870,1,230,32870,2010-01-04,2011-05-16,346,1335,0
PC-9711,32870,1,155,32870,2010-01-04,2011-05-16,346,1268,0
PC-9714,3460,1,173,3460,2010-01-04,2011-05-16,346,311,0
PC-9744,49478,1,247,49478,2010-01-04,2011-05-16,346,1395,0
PC-9747,3450,1,176,3450,2010-01-04,2011-05-16,345,304,0
PC-9770,39444,1,206,39444,2010-01-04,2011-05-16,346,5891,0
PC-9777,56052,1,261,56052,2010-01-04,2011-05-16,346,0,0
PC-9782,10034,1,73,10034,2010-01-04,2011-05-16,346,0,0
PC-9787,4210,1,194,4210,2010-01-03,2011-05-16,421,598,750
PC-9791,56052,1,241,56052,2010-01-04,2011-05-16,346,577,0
PC-9800,55890,1,330,55890,2010-01-04,2011-05-16,345,0,0
PC-9819,4420,1,141,4420,2010-01-03,2011-05-16,442,420,890
PC-9822,7398,1,188,7398,2010-01-02,2010-12-02,274,784,999
PC-9827,8091,1,69,8091,2010-01-04,2011-02-09,279,0,0
PC-9840,31690,1,264,31690,2010-01-04,2010-10-07,195,0,0
PC-9842,48533,1,241,48533,2010-01-02,2011-05-16,426,0,8778
PC-9850,3460,1,70,3460,2010-01-04,2011-05-16,346,41,0
PC-9873,39444,1,184,39444,2010-01-04,2011-05-16,346,3537,0
PC-9874,39444,1,271,39444,2010-01-04,2011-05-16,346,3232,0
PC-9881,32870,1,114,32870,2010-01-04,2011-05-16,346,2312,0
PC-9896,45500,1,139,45500,2010-01-02,2011-05-16,455,0,10100
PC-9901,43605,1,289,43605,2010-01-03,2011-05-16,459,451,10260
PC-9919,41040,1,131,41040,2010-01-04,2011-05-16,360,5428,1368
PC-9923,6498,1,127,6498,2010-01-04,2010-11-17,225,1417,4
PC-9926,59454,1,270,59454,2010-01-04,2011-05-16,367,2456,2430
PC-9929,32850,1,189,32850,2010-01-04,2011-05-16,365,2209,1440
PC-9931,32870,1,200,32870,2010-01-04,2011-05-16,346,384,0
PC-9939,31140,1,228,31140,2010-01-04,2011-05-16,346,301,0
PC-9947,39444,1,349,39444,2010-01-04,2011-05-16,346,0,0
PC-9966,65740,1,217,65740,2010-01-04,2011-05-16,346,2747,0
PC-9973,65740,1,126,65740,2010-01-04,2011-05-16,346,2826,0
PC-9979,3460,1,116,3460,2010-01-04,2011-05-16,346,37,0
PC-9988,32870,1,228,32870,2010-01-04,2011-05-16,346,307,0
PC-9999,56052,1,277,56052,2010-01-04,2011-05-16,346,599,0
